Wafer_Num,type,Temp_OXid,Vapor,ppm,Pressure,Oxid_time,thickness,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,Line_CD,Wavelength,Resolution,Energy_Exposure,Thin F4,Thin F3,Thin F2,Thin F1,Source_Power,Selectivity,Temp_Etching,Temp_Etching2,Temp_Etching3,Temp_Etching4,etching_rate_f1,etching_rate_f2,etching_rate_f3,etching_rate_f4
1,dry,870.1430801,O2,22.15,0.188,195,688.458,0.96985,16.96,14.94,20.002,205.266,90.001,505.266,4105.328,5131.66,5.119,93.795,29.99,25.657,436,542.767,106.535,98,1370,3614,5683,49.99,1,68.846,77.4799548,79.01993926,68.6700437,1201.58,2069,2244,1272
2,dry,870.7949893,O2,22.18,0.192,199,690.969,0.67389,16.527,15.106,20.002,205.014,90.001,505.014,4100.279,5125.348,5.11,92.334,30.017,22.358,436,559.309,107.851,183,1346,3615,5711,50.559,1.014,69.097,77.75995198,79.02993916,68.43004613,1198.69,2096,2269,1163
3,dry,871.0032293,O2,22.18,0.208,215,704.849,1.07597,16.996,15.032,20.004,201.845,90,501.845,4036.901,5046.127,5.057,92.03,29.994,19.378,436,554.537,107.31,195,1396,3628,5704,51.093,1.027,70.485,77.68995268,79.15993785,68.93004108,1344.49,2076,2232,1201
4,dry,871.4997532,O2,22.18,0.211,218,708.054,0.92165,16.867,14.954,19.996,200.993,90,500.993,4019.851,5024.813,5.031,91.466,30.006,29.366,436,557.108,107.699,183,1378,3630,5689,51.007,1.025,70.805,77.5399542,79.17993765,68.7500429,1391.54,2059,2252,1195
5,dry,871.6910602,O2,22.19,0.216,223,712.583,0.78711,16.648,15.029,20.002,199.811,90,499.811,3996.219,4995.273,5.002,91.033,30.01,13.721,436,553.497,107.293,152,1420,3636,5717,51.175,1.029,71.258,77.81995137,79.23993704,69.17003866,1408.83,2081,2216,1268
6,dry,872.0964096,O2,22.18,0.216,223,712.477,1.06047,16.398,14.952,20.003,199.192,89.999,499.192,3983.84,4979.8,4.967,90.947,30.007,19.727,436,552.958,107.638,150,1329,3637,5708,51.054,1.026,71.248,77.72995228,79.24993694,68.26004784,1416.77,2071,2308,1179
7,dry,871.8803254,O2,22.18,0.216,223,712.484,1.00201,16.849,14.967,19.998,198.879,90,498.879,3977.571,4971.964,4.97,91.144,30.004,29.578,436,550.899,108.359,62,1418,3634,5732,51.153,1.029,71.248,77.96994986,79.21993724,69.15003886,1392.84,2098,2216,1356
8,dry,872.3541455,O2,22.2,0.217,224,713.776,0.98377,17.185,15.077,19.998,199.287,90.002,499.287,3985.745,4982.181,4.985,90.663,29.997,17.244,436,548.49,107.84,143,1415,3636,5701,51.38,1.034,71.378,77.65995299,79.23993704,69.12003916,1436.76,2065,2221,1272
9,dry,872.4141968,O2,22.2,0.217,224,713.6,1.11711,16.813,14.937,20.001,197.828,90,497.828,3956.57,4945.712,4.94,90.511,29.99,17.474,436,547.287,107.46,113,1413,3638,5726,50.989,1.025,71.36,77.90995046,79.25993684,69.10003936,1410,2088,2225,1300
10,dry,872.3553695,O2,22.21,0.216,223,712.25,0.78203,16.699,15.044,19.998,199.187,90.001,499.187,3983.746,4979.682,4.982,91.195,29.996,23.018,436,548.646,108.197,178,1486,3639,5726,51.355,1.034,71.225,77.90995046,79.26993674,69.830032,1396.5,2087,2153,1308
11,dry,872.5565675,O2,22.21,0.216,223,712.442,1.0309,16.056,15.024,20.004,199.193,89.999,499.193,3983.859,4979.824,4.982,91.182,29.995,24.328,436,555.085,108.275,241,1505,3637,5728,51.355,1.034,71.244,77.92995026,79.24993694,70.02003008,1396.42,2091,2132,1264
12,dry,872.1836111,O2,22.19,0.216,223,712.213,0.89203,15.741,15.053,20.002,199.35,90.001,499.35,3986.997,4983.746,5.005,91.333,30.001,31.553,436,552.418,108.825,165,1399,3635,5705,51.61,1.04,71.221,77.69995258,79.22993714,68.96004078,1417.13,2070,2236,1234
13,dry,872.4719636,O2,22.19,0.217,224,713.713,0.81909,16.839,14.96,19.996,199.805,90,499.805,3996.109,4995.136,4.996,91.67,29.993,36.742,436,556.431,108.883,136,1393,3639,5733,51.651,1.041,71.371,77.97994976,79.26993674,68.90004138,1404.13,2094,2246,1257
14,dry,872.0302876,O2,22.19,0.217,224,713.21,0.65738,16.674,15.07,20,200.224,89.999,500.224,4004.471,5005.589,5.008,91.55,30.002,29.197,436,551.224,108.837,192,1438,3642,5693,51.618,1.04,71.321,77.57995379,79.29993644,69.35003684,1439.1,2051,2204,1246
15,dry,872.5088053,O2,22.21,0.217,224,713.755,1.02135,16.548,14.905,19.997,200.135,90,500.135,4002.704,5003.38,5.008,91.947,30.009,36.652,436,556.698,109.502,167,1414,3635,5725,51.608,1.04,71.375,77.89995056,79.22993714,69.11003926,1412.55,2090,2221,1247
