No_Die,Datetime,Lot_Num,Wafer_Num,Ox_Chamber,process,type,Temp_OXid,Vapor,ppm,Pressure,Oxid_time,thickness,photo_soft_Chamber,process 2,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,lithography_Chamber,Line_CD,Lamp,UV_type,Wavelength,Resolution,Energy_Exposure,Etching_Chamber,Process 3,Thin F4,Thin F3,Thin F2,Thin F1,Temp_Etching,Source_Power,Selectivity,Chamber_Num,process4,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Current,Temp_implantation,Furance_Temp,RTA_Temp,Target,Datetime,Error_message,Yield
NOLSM111,17-02-2019 ?? 9:04:30,1,1,1,Oxidation,dry,1138.979159,H2O,32.8,0.2,62,699.443,1,Photo,1.72027,13.891,15.025,20,198.792,90.001,504.589,4082.622,5184.62,5.044,90.894,30.009,1,30.959,Hg-Arc,H,365,516.657,109.769,3,Etching,251,1606,3676,5756,70.878,50.851,1.047,3,Implantation,1.00E+16,1.35E+17,3.47E+17,3.00E+17,6.00E+17,31574.41,0.01,102.847,885,154,96,02-18-2018,none,95.2
NOLSM212,17-02-2019 ?? 9:04:30,1,2,1,Oxidation,dry,1218.184551,H2O,31.86,0.194,137,696.792,1,Photo,0.96161,14.722,15.059,19.995,198.747,89.998,492.196,3960.739,5065.197,5.058,92.334,29.997,2,29.653,Hg-Arc,H,405,501.894,107.102,2,Etching,317,1574,3657,5680,69.561,52.283,1.051,2,Implantation,9.71E+15,1.39E+17,3.84E+17,3.02E+17,6.00E+17,31580.213,0.01,104.323,919,154,102,02-18-2018,none,94.9
NOLSM313,17-02-2019 ?? 9:04:30,1,3,1,Oxidation,dry,1062.467808,O2,39.51,0.217,128,705.471,1,Photo,1.48912,19.205,14.964,19.997,202.139,90,499.886,3981.691,4873.417,5.151,91.868,30.005,3,28.063,Hg-Arc,I,436,506.75,110.471,1,Etching,411,1321,3644,5715,70.968,51.61,1.017,1,Implantation,1.76E+16,8.78E+16,6.01E+17,2.99E+17,6.00E+17,32162.414,0.01,100.605,916,155,95,02-18-2018,none,95.25
NOLSM414,17-02-2019 ?? 9:04:30,1,4,1,Oxidation,dry,1114.704773,O2,32.88,0.201,90,710.772,2,Photo,0.94868,16.368,14.944,19.998,199.649,90.001,505.249,3922.191,5131.972,5.069,91.881,29.997,1,31.556,Hg-Arc,I,436,537.603,107.072,1,Etching,256,1628,3628,5737,70.146,51.286,1.027,1,Implantation,1.15E+16,9.78E+16,6.65E+16,2.99E+17,6.00E+17,32874.925,0.01,101.739,911,156,117,02-18-2018,none,94.15
NOLSM515,17-02-2019 ?? 9:04:30,1,5,1,Oxidation,dry,989.4119462,H2O,38.11,0.204,98,716.975,2,Photo,0.83591,13.926,14.933,20.002,204.544,90.001,501.089,4124.099,5108.355,5.055,91.212,30.001,2,31.969,Hg-Arc,I,436,560.574,108.073,2,Etching,419,1598,3667,5720,71.174,51.996,1.05,2,Implantation,9.77E+15,1.22E+17,2.50E+17,3.01E+17,6.00E+17,30985.928,0.01,106.422,872,155,143,02-18-2018,none,92.85
NOLSM616,17-02-2019 ?? 9:04:30,1,6,1,Oxidation,wet,979.1097026,H2O,39.93,0.204,132,698.725,2,Photo,1.36943,11.919,15.132,20.007,201.962,90,500.748,4001.361,5030.912,5.008,91.85,29.999,3,51.096,Hg-Arc,H,405,500.892,106.951,3,Etching,359,1323,3644,5707,71.709,51.931,1.012,3,Implantation,1.18E+16,9.34E+16,4.46E+17,3.00E+17,6.00E+17,31997.243,0.01,103.466,924,149,49,02-18-2018,none,97.55
NOLSM717,17-02-2019 ?? 9:04:30,1,7,1,Oxidation,wet,1136.114954,O2,35.63,0.2,74,709.703,3,Photo,1.92633,16.358,15.083,19.997,205.548,90.001,505.27,4054.534,4965.192,5.192,92.193,30.003,2,24.552,Hg-Arc,I,436,516.947,108.505,2,Etching,151,1389,3679,5700,71.354,51.446,1.034,2,Implantation,1.45E+16,8.04E+16,3.24E+17,3.00E+17,6.00E+17,31464.087,0.01,100.054,882,154,97,02-18-2018,none,95.15
NOLSM818,17-02-2019 ?? 9:04:30,1,8,1,Oxidation,dry,1096.241849,H2O,28.6,0.199,291,696.438,3,Photo,1.41846,12.465,14.91,19.998,202.558,89.999,501.967,3957.086,5075.265,4.965,92.359,30.01,3,33.839,Hg-Arc,G,436,492.095,106.183,1,Etching,316,1521,3653,5737,70.761,51.053,1.022,1,Implantation,1.29E+16,9.88E+16,2.29E+17,3.02E+17,6.00E+17,31776.157,0.01,104.328,885,153,92,02-18-2018,none,95.4
NOLSM919,17-02-2019 ?? 9:04:30,1,9,2,Oxidation,dry,1042.243992,O2,34.58,0.203,61,712.977,1,Photo,0.67979,13.463,15.016,19.998,202.294,90,498.37,4087.957,5099.904,5.087,92.549,29.997,1,61.905,Hg-Arc,H,405,506.182,108.96,1,Etching,294,1425,3654,5717,71.716,51.209,1.039,1,Implantation,1.71E+16,1.37E+17,1.27E+18,3.00E+17,6.00E+17,31692.407,0.01,104.575,906,156,86,02-18-2018,none,95.7
NOLSM10110,17-02-2019 ?? 9:04:30,1,10,2,Oxidation,dry,1104.836285,H2O,34.95,0.204,117,725.873,1,Photo,0.73422,11.535,15.198,20.002,200.821,90.002,499.082,4025.484,5049.864,4.923,91.49,29.999,2,41.35,Hg-Arc,H,405,499.553,109.605,2,Etching,466,1603,3643,5703,69.948,50.944,1.024,2,Implantation,8.35E+15,2.65E+16,4.67E+17,3.01E+17,6.00E+17,32927.629,0.01,106.633,898,158,102,02-18-2018,none,94.9
