No_Die,Datetime,Lot_Num,Wafer_Num,Chamber_Num,process4,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Current,Temp_implantation,Furance_Temp,RTA_Temp
NOLSM111,17-02-2019 ?? 9:04:30,1,1,3,Implantation,1.00E+16,1.35E+17,3.47E+17,3.00E+17,6.00E+17,31574.41,0.01,102.847,885,154
NOLSM212,17-02-2019 ?? 9:04:30,1,2,2,Implantation,9.71E+15,1.39E+17,3.84E+17,3.02E+17,6.00E+17,31580.213,0.01,104.323,919,154
NOLSM313,17-02-2019 ?? 9:04:30,1,3,1,Implantation,1.76E+16,8.78E+16,6.01E+17,2.99E+17,6.00E+17,32162.414,0.01,100.605,916,155
NOLSM414,17-02-2019 ?? 9:04:30,1,4,1,Implantation,1.15E+16,9.78E+16,6.65E+16,2.99E+17,6.00E+17,32874.925,0.01,101.739,911,156
NOLSM515,17-02-2019 ?? 9:04:30,1,5,2,Implantation,9.77E+15,1.22E+17,2.50E+17,3.01E+17,6.00E+17,30985.928,0.01,106.422,872,155
NOLSM616,17-02-2019 ?? 9:04:30,1,6,3,Implantation,1.18E+16,9.34E+16,4.46E+17,3.00E+17,6.00E+17,31997.243,0.01,103.466,924,149
NOLSM717,17-02-2019 ?? 9:04:30,1,7,2,Implantation,1.45E+16,8.04E+16,3.24E+17,3.00E+17,6.00E+17,31464.087,0.01,100.054,882,154
NOLSM818,17-02-2019 ?? 9:04:30,1,8,1,Implantation,1.29E+16,9.88E+16,2.29E+17,3.02E+17,6.00E+17,31776.157,0.01,104.328,885,153
NOLSM919,17-02-2019 ?? 9:04:30,1,9,1,Implantation,1.71E+16,1.37E+17,1.27E+18,3.00E+17,6.00E+17,31692.407,0.01,104.575,906,156
NOLSM10110,17-02-2019 ?? 9:04:30,1,10,2,Implantation,8.35E+15,2.65E+16,4.67E+17,3.01E+17,6.00E+17,32927.629,0.01,106.633,898,158
NOLSM11111,17-02-2019 ?? 9:04:30,1,11,3,Implantation,1.74E+16,2.39E+16,9.60E+17,2.99E+17,6.00E+17,31691.366,0.01,105.291,891,156
NOLSM12112,17-02-2019 ?? 9:04:30,1,12,3,Implantation,1.37E+16,8.91E+16,7.44E+17,3.00E+17,6.00E+17,31201.151,0.01,105.485,906,153
NOLSM13113,17-02-2019 ?? 9:04:30,1,13,2,Implantation,1.38E+16,1.22E+17,7.80E+17,3.03E+17,6.00E+17,31655.39,0.01,104.646,898,151
NOLSM14114,17-02-2019 ?? 9:04:30,1,14,1,Implantation,1.26E+16,1.11E+17,6.00E+17,3.03E+17,6.00E+17,30953.889,0.01,104.291,897,152
NOLSM15115,17-02-2019 ?? 9:04:30,1,15,1,Implantation,7.25E+15,9.58E+16,2.29E+17,3.01E+17,6.00E+17,31211.391,0.01,102.585,899,151
NOLSM16116,17-02-2019 ?? 9:04:30,1,16,2,Implantation,9.52E+15,4.84E+16,9.96E+17,2.99E+17,6.00E+17,31603.462,0.01,106.007,910,156
