No_Die,Datetime,Lot_Num,Wafer_Num,photo_soft_Chamber,process 2,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake
NOLSM111,17-02-2019 ?? 9:04:30,1,1,1,Photo,1.72027,13.891,15.025,20,198.792,90.001,504.589,4082.622,5184.62,5.044,90.894,30.009
NOLSM212,17-02-2019 ?? 9:04:30,1,2,1,Photo,0.96161,14.722,15.059,19.995,198.747,89.998,492.196,3960.739,5065.197,5.058,92.334,29.997
NOLSM313,17-02-2019 ?? 9:04:30,1,3,1,Photo,1.48912,19.205,14.964,19.997,202.139,90,499.886,3981.691,4873.417,5.151,91.868,30.005
NOLSM414,17-02-2019 ?? 9:04:30,1,4,2,Photo,0.94868,16.368,14.944,19.998,199.649,90.001,505.249,3922.191,5131.972,5.069,91.881,29.997
NOLSM515,17-02-2019 ?? 9:04:30,1,5,2,Photo,0.83591,13.926,14.933,20.002,204.544,90.001,501.089,4124.099,5108.355,5.055,91.212,30.001
NOLSM616,17-02-2019 ?? 9:04:30,1,6,2,Photo,1.36943,11.919,15.132,20.007,201.962,90,500.748,4001.361,5030.912,5.008,91.85,29.999
NOLSM717,17-02-2019 ?? 9:04:30,1,7,3,Photo,1.92633,16.358,15.083,19.997,205.548,90.001,505.27,4054.534,4965.192,5.192,92.193,30.003
NOLSM818,17-02-2019 ?? 9:04:30,1,8,3,Photo,1.41846,12.465,14.91,19.998,202.558,89.999,501.967,3957.086,5075.265,4.965,92.359,30.01
NOLSM919,17-02-2019 ?? 9:04:30,1,9,1,Photo,0.67979,13.463,15.016,19.998,202.294,90,498.37,4087.957,5099.904,5.087,92.549,29.997
NOLSM10110,17-02-2019 ?? 9:04:30,1,10,1,Photo,0.73422,11.535,15.198,20.002,200.821,90.002,499.082,4025.484,5049.864,4.923,91.49,29.999
NOLSM11111,17-02-2019 ?? 9:04:30,1,11,1,Photo,1.09607,18.638,15.012,20.001,201.924,90.002,500.257,4036.876,5087.298,4.975,92.318,29.988
NOLSM12112,17-02-2019 ?? 9:04:30,1,12,2,Photo,2.19916,12.013,14.981,20.001,200.521,90.001,501.499,4014.071,4947.437,5.024,93.669,30.001
NOLSM13113,17-02-2019 ?? 9:04:30,1,13,2,Photo,0.62819,15.182,15.034,19.994,199.034,90,501.61,3985.686,5137.647,5.013,91.66,30
NOLSM14114,17-02-2019 ?? 9:04:30,1,14,2,Photo,1.01327,18.211,15.006,20.001,197.707,90,503.158,4047.541,4947.636,5.028,94.355,29.997
NOLSM15115,17-02-2019 ?? 9:04:30,1,15,3,Photo,0.82107,15.836,14.925,19.993,194.126,90,501.085,3955.393,4983.697,5.032,92.48,30.003
NOLSM16116,17-02-2019 ?? 9:04:30,1,16,3,Photo,2.17388,15.931,15.1,20.004,199.703,90,503.226,4062.804,4931.418,5.053,94.036,30.003
NOLSM17117,17-02-2019 ?? 9:04:30,1,17,3,Photo,1.91871,13.723,14.879,19.998,198.575,90,499.06,4071.633,5053.274,5.102,93.318,29.996
NOLSM18118,17-02-2019 ?? 9:04:30,1,18,1,Photo,1.70572,13.934,14.899,20.001,198.429,90,501.252,3985.677,4979.438,4.925,90.195,30.007
NOLSM19119,17-02-2019 ?? 9:04:30,1,19,1,Photo,1.91149,13.286,15.074,19.991,202.801,90.001,499.644,3978.724,4940.786,5.052,91.503,30.008
